t,phase,h,v,mach,q,drag,thrust,weight,mass,accel,accel_g,TW,T,T_C,p,p_kPa,rho,a_snd,mu,nu,sigma,delta,Re_body,Re_fin
1.8502,coast-to-staging,77.638598,61.200754,0.180004,2277.088012,6.940503,0.0,12.575067,1.2823,-15.219192,-1.551926,0.0,287.645355,14.495355,100395.796748,100.395797,1.215896,339.995875,1.8e-05,1.5e-05,0.992568,0.990829,349801.217082,312322.515252
1.9002,coast-to-staging,80.6796,60.443446,0.177783,2220.433105,6.767821,0.0,12.575067,1.2823,-15.084526,-1.538194,0.0,287.625589,14.475589,100359.542474,100.359542,1.21554,339.984193,1.8e-05,1.5e-05,0.992278,0.990472,345390.149663,308384.062199
1.9502,coast-to-staging,83.682903,59.692804,0.175581,2164.999402,6.59886,0.0,12.575067,1.2823,-14.952763,-1.524757,0.0,287.606068,14.456068,100323.748061,100.323748,1.215189,339.972655,1.8e-05,1.5e-05,0.991991,0.990118,341020.260218,304482.375195
2.0002,coast-to-staging,86.648839,58.948685,0.173398,2110.756641,6.43353,0.0,12.575067,1.2823,-14.82383,-1.51161,0.0,287.58679,14.43679,100288.40919,100.288409,1.214842,339.961261,1.8e-05,1.5e-05,0.991708,0.98977,336690.650548,300616.652275
2.0502,coast-to-staging,89.57773,58.210947,0.171234,2057.675559,6.27174,0.0,12.575067,1.2823,-14.697658,-1.498744,0.0,287.567753,14.417753,100253.521634,100.253522,1.2145,339.950009,1.8e-05,1.5e-05,0.991429,0.989425,332400.444977,296786.111586
2.1002,coast-to-staging,92.469891,57.479454,0.169088,2005.727851,6.113405,0.0,12.575067,1.2823,-14.574181,-1.486153,0.0,287.548954,14.398954,100219.081259,100.219081,1.214162,339.938897,1.8e-05,1.5e-05,0.991153,0.989085,328148.789608,292989.990721
2.1502,coast-to-staging,95.325631,56.754072,0.166959,1954.886137,5.958441,0.0,12.575067,1.2823,-14.453332,-1.47383,0.0,287.530393,14.380393,100185.08402,100.185084,1.213829,339.927925,1.8e-05,1.5e-05,0.990881,0.98875,323934.851603,289227.546074
2.2002,coast-to-staging,98.145253,56.034669,0.164848,1905.123924,5.806767,0.0,12.575067,1.2823,-14.335049,-1.461768,0.0,287.512066,14.362066,100151.52596,100.151526,1.2135,339.917091,1.8e-05,1.5e-05,0.990612,0.988419,319757.81849,285498.052223
2.2502,coast-to-staging,100.929053,55.32112,0.162754,1856.415574,5.658305,0.0,12.575067,1.2823,-14.219272,-1.449962,0.0,287.493972,14.343972,100118.403207,100.118403,1.213175,339.906395,1.8e-05,1.5e-05,0.990347,0.988092,315616.897497,281800.801337
2.3002,coast-to-staging,103.677319,54.613298,0.160677,1808.736273,5.51298,0.0,12.575067,1.2823,-14.10594,-1.438406,0.0,287.476108,14.326108,100085.711972,100.085712,1.212854,339.895835,1.8e-05,1.5e-05,0.990085,0.987769,311511.314914,278135.102602
2.3502,coast-to-staging,106.390335,53.911084,0.158615,1762.061999,5.370718,0.0,12.575067,1.2823,-13.994997,-1.427093,0.0,287.458474,14.308474,100053.448548,100.053449,1.212537,339.88541,1.8e-05,1.5e-05,0.989826,0.987451,307440.315472,274500.281672
2.4002,coast-to-staging,109.068379,53.214358,0.15657,1716.369491,5.231448,0.0,12.575067,1.2823,-13.886388,-1.416018,0.0,287.441068,14.291068,100021.609306,100.021609,1.212225,339.875119,1.8e-05,1.5e-05,0.989571,0.987137,303403.161757,270895.680141
2.4502,coast-to-staging,111.711721,52.523005,0.154541,1671.636226,5.095102,0.0,12.575067,1.2823,-13.780059,-1.405175,0.0,287.423887,14.273887,99990.190696,99.990191,1.211916,339.864962,1.8e-05,1.5e-05,0.989319,0.986826,299399.133633,267320.655029
2.5002,coast-to-staging,114.320629,51.83691,0.152527,1627.840389,4.961614,0.0,12.575067,1.2823,-13.675958,-1.39456,0.0,287.406929,14.256929,99959.189243,99.959189,1.211612,339.854936,1.8e-05,1.5e-05,0.989071,0.98652,295427.527691,263774.578295
2.5502,coast-to-staging,116.895362,51.155965,0.150527,1584.960847,4.830918,0.0,12.575067,1.2823,-13.574035,-1.384166,0.0,287.390194,14.240194,99928.601545,99.928602,1.211312,339.845041,1.8e-05,1.5e-05,0.988826,0.986219,291487.656725,260256.836361
2.6002,coast-to-staging,119.436174,50.48006,0.148543,1542.977125,4.702953,0.0,12.575067,1.2823,-13.474242,-1.37399,0.0,287.373679,14.223679,99898.424274,99.898424,1.211016,339.835277,1.8e-05,1.5e-05,0.988584,0.985921,287578.849215,256766.829656
2.6502,coast-to-staging,121.943315,49.80909,0.146572,1501.869386,4.577658,0.0,12.575067,1.2823,-13.37653,-1.364026,0.0,287.357384,14.207384,99868.65417,99.868654,1.210723,339.825641,1.8e-05,1.5e-05,0.988346,0.985627,283700.448837,253303.972176
2.7002,coast-to-staging,124.41703,49.142952,0.144616,1461.618401,4.454974,0.0,12.575067,1.2823,-13.280855,-1.35427,0.0,287.341305,14.191305,99839.288044,99.839288,1.210435,339.816134,1.8e-05,1.5e-05,0.98811,0.985337,279851.813991,249867.691063
2.7502,coast-to-staging,126.857556,48.481544,0.142674,1422.205537,4.334844,0.0,12.575067,1.2823,-13.187173,-1.344717,0.0,287.325442,14.175442,99810.322774,99.810323,1.210151,339.806754,1.8e-05,1.5e-05,0.987878,0.985051,276032.317336,246457.426193
2.8002,coast-to-staging,129.265129,47.824767,0.140745,1383.612728,4.217215,0.0,12.575067,1.2823,-13.095439,-1.335363,0.0,287.309794,14.159794,99781.755303,99.781755,1.20987,339.7975,1.8e-05,1.5e-05,0.987649,0.984769,272241.345355,243072.629782
2.8502,coast-to-staging,131.639978,47.172525,0.138829,1345.82246,4.102031,0.0,12.575067,1.2823,-13.005613,-1.326203,0.0,287.294358,14.144358,99753.58264,99.753583,1.209594,339.788372,1.8e-05,1.5e-05,0.987423,0.984491,268478.297927,239712.766006
2.9002,coast-to-staging,133.982326,46.524724,0.136926,1308.81775,3.989241,0.0,12.575067,1.2823,-12.917655,-1.317234,0.0,287.279133,14.129133,99725.801855,99.725802,1.209321,339.779369,1.8e-05,1.5e-05,0.987201,0.984217,264742.587912,236377.310636
2.9502,coast-to-staging,136.292394,45.88127,0.135036,1272.582131,3.878796,0.0,12.575067,1.2823,-12.831524,-1.308451,0.0,287.264118,14.114118,99698.410081,99.69841,1.209052,339.770489,1.8e-05,1.5e-05,0.986981,0.983947,261033.640759,233065.750678
3.0002,coast-to-staging,138.570396,45.242073,0.133158,1237.099629,3.770647,0.0,12.575067,1.2823,-12.747184,-1.299851,0.0,287.249312,14.099312,99671.404511,99.671405,1.208787,339.761733,1.8e-05,1.5e-05,0.986765,0.98368,257350.89412,229777.584036
3.0502,coast-to-staging,140.816543,44.607043,0.131293,1202.354751,3.664745,0.0,12.575067,1.2823,-12.664597,-1.291429,0.0,287.234713,14.084713,99644.782399,99.644782,1.208525,339.753099,1.8e-05,1.5e-05,0.986551,0.983418,253693.797478,226512.319177
3.1002,coast-to-staging,143.031041,43.976095,0.129439,1168.332468,3.561046,0.0,12.575067,1.2823,-12.583727,-1.283183,0.0,287.220319,14.070319,99618.541052,99.618541,1.208268,339.744586,1.8e-05,1.5e-05,0.986341,0.983159,250061.811794,223269.474816
3.1502,coast-to-staging,145.214093,43.349142,0.127596,1135.0182,3.459505,0.0,12.575067,1.2823,-12.504541,-1.275108,0.0,287.20613,14.05613,99592.677839,99.592678,1.208014,339.736194,1.8e-05,1.5e-05,0.986134,0.982903,246454.409154,220048.579602
3.2002,coast-to-staging,147.365896,42.726101,0.125766,1102.397797,3.360079,0.0,12.575067,1.2823,-12.427003,-1.267202,0.0,287.192144,14.042144,99567.190181,99.56719,1.207763,339.727922,1.8e-05,1.5e-05,0.985929,0.982652,242871.072442,216849.171823
3.2502,coast-to-staging,149.486643,42.106891,0.123946,1070.457532,3.262726,0.0,12.575067,1.2823,-12.351083,-1.25946,0.0,287.17836,14.02836,99542.075554,99.542076,1.207517,339.719769,1.8e-05,1.5e-05,0.985728,0.982404,239311.295012,213670.799118
3.3002,coast-to-staging,151.576524,41.491431,0.122137,1039.184081,3.167405,0.0,12.575067,1.2823,-12.276747,-1.25188,0.0,287.164776,14.014776,99517.331489,99.517331,1.207273,339.711734,1.8e-05,1.5e-05,0.985529,0.98216,235774.580377,210513.018194
