z_m,h_geopot_m,T_K,T_C,p_Pa,p_kPa,p_atm,rho_kgm3,a_ms,mu_Pas,nu_m2s,sigma,delta,theta
8250,8239.3,234.594506,-38.555494,34384.475885,34.384476,0.339348,0.510602,307.04631,1.5e-05,3e-05,0.416818,0.339348,0.81414
8500,8488.6,232.973779,-40.176221,33154.161432,33.154161,0.327206,0.495757,305.983837,1.5e-05,3e-05,0.4047,0.327206,0.808516
8750,8738.0,231.35318,-41.79682,31959.83087,31.959831,0.315419,0.481246,304.917746,1.5e-05,3.1e-05,0.392854,0.315419,0.802891
9000,8987.3,229.732708,-43.417292,30800.669445,30.800669,0.303979,0.467063,303.847999,1.5e-05,3.2e-05,0.381276,0.303979,0.797268
9250,9236.6,228.112363,-45.037637,29675.875418,29.675875,0.292878,0.453203,302.774556,1.5e-05,3.3e-05,0.369962,0.292878,0.791645
9500,9485.8,226.492146,-46.657854,28584.659953,28.58466,0.282109,0.439661,301.697379,1.5e-05,3.4e-05,0.358907,0.282109,0.786022
9750,9735.1,224.872056,-48.277944,27526.246989,27.526247,0.271663,0.426432,300.616428,1.5e-05,3.4e-05,0.348108,0.271663,0.780399
10000,9984.3,223.252093,-49.897907,26499.873123,26.499873,0.261533,0.41351,299.53166,1.5e-05,3.5e-05,0.337559,0.261533,0.774777
10250,10233.5,221.632257,-51.517743,25504.787487,25.504787,0.251713,0.400891,298.443036,1.4e-05,3.6e-05,0.327258,0.251713,0.769156
10500,10482.7,220.012548,-53.137452,24540.251632,24.540252,0.242193,0.38857,297.350512,1.4e-05,3.7e-05,0.3172,0.242193,0.763535
10750,10731.9,218.392967,-54.757033,23605.539407,23.605539,0.232969,0.376542,296.254045,1.4e-05,3.8e-05,0.307381,0.232969,0.757914
11000,10981.0,216.773513,-56.376487,22699.936837,22.699937,0.224031,0.364801,295.153591,1.4e-05,3.9e-05,0.297797,0.224031,0.752294
11250,11230.1,216.65,-56.5,21825.488606,21.825489,0.215401,0.350948,295.069494,1.4e-05,4.1e-05,0.286489,0.215401,0.751865
11500,11479.2,216.65,-56.5,20984.772728,20.984773,0.207104,0.33743,295.069494,1.4e-05,4.2e-05,0.275453,0.207104,0.751865
11750,11728.3,216.65,-56.5,20176.503375,20.176503,0.199127,0.324433,295.069494,1.4e-05,4.4e-05,0.264843,0.199127,0.751865
12000,11977.4,216.65,-56.5,19399.42591,19.399426,0.191457,0.311938,295.069494,1.4e-05,4.6e-05,0.254643,0.191457,0.751865
12250,12226.4,216.65,-56.5,18652.334302,18.652334,0.184084,0.299925,295.069494,1.4e-05,4.7e-05,0.244837,0.184084,0.751865
12500,12475.5,216.65,-56.5,17934.069242,17.934069,0.176996,0.288375,295.069494,1.4e-05,4.9e-05,0.235409,0.176996,0.751865
12750,12724.5,216.65,-56.5,17243.516324,17.243516,0.17018,0.277272,295.069494,1.4e-05,5.1e-05,0.226344,0.17018,0.751865
