t,x,z,vx,vz,theta,q,alpha,M,qdyn,N,delta,tau_cmd,Fs,duty,I_coil,Xcg,Xcp,SM,m,Iyy,M_aero,M_thrust,wind_gust
6.374000000000463,-40.44964269715482,245.1177566057724,-7.825719279899659,15.455110007688518,-0.5322032716883891,-1.0984292118525885,0.08163275842103268,0.0556009040590921,212.6691557501672,0.5517455765872197,0.0,0,0,0,0,0.4419,0.578,1.6202380952380944,1.3843,0.08933862999087999,-0.07509257297352057,0.0,0.046637782452132265
6.375000000000464,-40.457468569977856,245.13320668758578,-7.826025728069163,15.44505404479189,-0.5333021152219252,-1.09925624083904,0.08093557347349889,0.055580408481353406,212.51201012416038,0.5460571051689934,0.0,0,0,0,0,0.4419,0.578,1.6202380952380944,1.3843,0.08933862999087999,-0.07431837201349997,0.0,0.04851593441981225
6.376000000000464,-40.46529474882747,245.14864671350148,-7.82633133322546,15.434998213109631,-0.5344017850035816,-1.1000817074561777,0.08080039205159617,0.0555819569979033,212.5234655178621,0.5450327921420948,0.0,0,0,0,0,0.4419,0.578,1.6202380952380944,1.3843,0.08933862999087999,-0.07417896301053907,0.0,0.06340131881079092
6.377000000000464,-40.473121234205365,245.16407668255462,-7.826638784281459,15.424940321179314,-0.5355022831365179,-1.1009129410524323,0.08124524806447142,0.05560638845246955,212.7099526757488,0.5488229631308332,0.0,0,0,0,0,0.4419,0.578,1.6202380952380944,1.3843,0.08933862999087999,-0.07469480528210637,0.0,0.091735006979852
6.378000000000465,-40.48094802672426,245.17949659368938,-7.826945615350622,15.414882377207473,-0.5366036120281816,-1.1017432241091414,0.08115805334558979,0.05561004176433647,212.73751728783535,0.5482005902394433,0.0,0,0,0,0,0.4419,0.578,1.6202380952380944,1.3843,0.08933862999087999,-0.07461010033158821,0.0,0.10778062306952266
6.379000000000465,-40.4887751241581,245.1949064481688,-7.827248614920722,15.404827010563167,-0.5377057663430976,-1.102563788801627,0.08037670243299277,0.05558639210379306,212.55622550281186,0.5418188267878816,0.0,0,0,0,0,0.4419,0.578,1.6202380952380944,1.3843,0.08933862999087999,-0.07374154232583066,0.0,0.10775661972381446
6.380000000000465,-40.49660252187504,245.2103062492257,-7.827546182639082,15.394775531802512,-0.5388087341774218,-1.1033702652163329,0.07924694660655651,0.05554904464246933,212.2703114892932,0.5325665115271602,0.0,0,0,0,0,0.4419,0.578,1.6202380952380944,1.3843,0.08933862999087999,-0.07248230221884647,0.0,0.09968160507864775
6.381000000000466,-40.504430215549625,245.22569599984652,-7.827840530880176,15.384726138591308,-0.5399125044583484,-1.1041686829144337,0.07859420069266876,0.05553053885523072,212.12851789824435,0.5272748336920478,0.0,0,0,0,0,0.4419,0.578,1.6202380952380944,1.3843,0.08933862999087999,-0.07176210486548767,0.0,0.10267597766024425
6.382000000000466,-40.51225820114493,245.24107570278534,-7.828130025073773,15.374680167585012,-0.5410170668960694,-1.104954580781128,0.07758486850068735,0.05549801108393736,211.8796927114689,0.5190526953651029,0.0,0,0,0,0,0.4419,0.578,1.6202380952380944,1.3843,0.08933862999087999,-0.07064307183919047,0.0,0.09743205541012499
6.383000000000466,-40.52008647357859,245.25644536165112,-7.828414208671789,15.364637992213579,-0.5421224083474617,-1.1057267125573582,0.07647348392551012,0.05546150311252639,211.60064207458706,0.5100118507422927,0.0,0,0,0,0,0.4419,0.578,1.6202380952380944,1.3843,0.08933862999087999,-0.06941261288602601,0.0,0.08985075737147548
6.384000000000467,-40.527915029162955,245.27180497892132,-7.828696326949113,15.35459697686953,-0.5432285194650562,-1.1064939134269507,0.07606701834374707,0.05545281196350323,211.53394660517017,0.5067746376647436,0.0,0,0,0,0,0.4419,0.578,1.6202380952380944,1.3843,0.08933862999087999,-0.06897202818617158,0.0,0.09859630331978891
6.385000000000467,-40.53574386575575,245.28715455582062,-7.82897622601048,15.344557250839637,-0.544335395105939,-1.1072557594830035,0.07562620269031328,0.055442817460770254,211.45731999409625,0.5032589517457726,0.0,0,0,0,0,0.4419,0.578,1.6202380952380944,1.3843,0.08933862999087999,-0.06849354333259962,0.0,0.10656252520680778
6.386000000000467,-40.54357297865698,245.30249409565707,-7.829248945333703,15.334522850323042,-0.5454430231561243,-1.1079987356059287,0.07409977787820399,0.05539002033829471,211.05439719248568,0.49086534311120766,0.0,0,0,0,0,0.4419,0.578,1.6202380952380944,1.3843,0.08933862999087999,-0.06680677319743533,0.0,0.08943235554142046
6.387000000000468,-40.55140236190775,245.31782360276455,-7.829516926087743,15.324491792669683,-0.5465513880696797,-1.108729488260835,0.07310377943541879,0.05535819610244003,210.81156457769998,0.48283762217231124,0.0,0,0,0,0,0.4419,0.578,1.6202380952380944,1.3843,0.08933862999087999,-0.06571420037765154,0.0,0.08459833910592997
6.388000000000468,-40.55923201022666,245.333143080926,-7.829779082874106,15.314464957717973,-0.547660476146132,-1.1094450641723035,0.07186671997746796,0.05531691736436698,210.4969120328261,0.47286986860799746,0.0,0,0,0,0,0.4419,0.578,1.6202380952380944,1.3843,0.08933862999087999,-0.06435758911754842,0.0,0.07422018266838126
